image,produto,preco,cents,loja,reviews rating number,reviews amount
https://http2.mlstatic.com/D_NQ_NP_956003-MLU74996849449_032024-W.webp,Arandela Alumínio 5 Vidros Com 45 Cm Para 2x Lâmpadas E27 Cor Preto,128,85,,4.9,(20)
https://http2.mlstatic.com/D_NQ_NP_883562-MLU74126713025_012024-W.webp,Arandela Eclipse Luz Indireta 12w 3000k Ip65 Led Integrado Cor Preto 110V/220V,63,1,,4.7,(46)
https://http2.mlstatic.com/D_NQ_NP_906070-MLU71779339548_092023-W.webp,Arandela Slim 2 Frisos 2 Focos 12x12x4 Cm Externa Cor Preto 110V/220V,25,19,por Forteled,4.6,(424)
https://http2.mlstatic.com/D_NQ_NP_732091-MLU73486025152_122023-W.webp,Arandela Mini Slim Moderna Efeito Interna Externa Mf143 Preto,25,19,por Forteled,4.5,(107)
https://http2.mlstatic.com/D_NQ_NP_936518-MLU71832564943_092023-W.webp,Arandelas Slim Externa Alumínio 2 Frisos 2 Fachos Mf103 Cor Branco 110V/220V,25,19,por Forteled,4.6,(424)
https://http2.mlstatic.com/D_NQ_NP_941396-MLU75468292268_042024-W.webp,Arandela Alumínio 2 Focos Externa Interna + Lâmpada 5w 3000k quente Inclusa 6205,38,6,,4.6,(177)
https://http2.mlstatic.com/D_NQ_NP_813826-MLU73552074839_122023-W.webp,Luminária Arandela Tartaruga Externa Grade e-27 Preto 110V/220V,19,39,,4.5,(747)
https://http2.mlstatic.com/D_NQ_NP_741698-MLU73410060620_122023-W.webp,Arandela Externa Led Facho Duplo Ajustável 5w Ip66 Luz 3000k Cor Preto,39,80,,4.8,(64)
https://http2.mlstatic.com/D_NQ_NP_833578-MLB71069644589_082023-W.webp, Arandela De Parede Externa E Interna Para Muro E Parede,24,99,,4.3,(762)
https://http2.mlstatic.com/D_NQ_NP_950500-MLB29906910514_042019-W.webp,Arandela Slim Interna Externa Alumínio 2 Friso Moderna,22,90,,4.6,(3152)
https://http2.mlstatic.com/D_NQ_NP_861230-MLB73927067811_012024-W.webp,Arandela 2 Focos E Frisos Externa Interna Parede Ar1015 Full,26,90,por Ideallume,4.7,(117)
https://http2.mlstatic.com/D_NQ_NP_700734-MLB70299993541_072023-W.webp,10 Balizador Led Slim 3000k 4w Bivolt Parede Escada Muro,199,17,,4.4,(25)
https://http2.mlstatic.com/D_NQ_NP_617581-MLB41069867710_032020-W.webp,Kit 10 Luminária Arandela Tartaruga Externa Com Grade OPL Cor Preto 110v/220v,71,90,,4.5,(747)
https://http2.mlstatic.com/D_NQ_NP_662383-MLU71779339570_092023-W.webp,Arandela Slim 2 Fachos 2 Frisos Externo Muro Parede Mf103 Cor Marrom 110V/220V,25,19,por Forteled,4.6,(424)
https://http2.mlstatic.com/D_NQ_NP_665274-MLU73413056224_122023-W.webp,Arandela Colonial Preto Alumínio Muro Parede Externa Ar2007,99,19,,5.0,(27)
https://http2.mlstatic.com/D_NQ_NP_954245-MLU71900818222_092023-W.webp,Arandela Externa Eco 3 Frisos E 2 Focos Alumínio Parede Muro Preto Para Lâmpada Comum Soquete E27 Mf130,38,74,por WS Distribuidora,4.8,(221)
https://http2.mlstatic.com/D_NQ_NP_652944-MLB49015308712_022022-W.webp,Arandela Externa Colonial Vintage Retro Quadrada Preto 336 127V/220V,60,87,,4.5,(594)
https://http2.mlstatic.com/D_NQ_NP_656578-MLU69349155934_052023-W.webp,Luminária Arandela 6w Sobrepor Branco Quente 3000k Cor Preto 127V/220V,39,99,,4.4,(17)
https://http2.mlstatic.com/D_NQ_NP_775131-MLB29906985602_042019-W.webp,Arandela Led 5w Externa Alumínio 2 Friso Lampada Inclusa,29,90,,4.6,(1278)
https://http2.mlstatic.com/D_NQ_NP_941127-MLB74757128865_022024-W.webp,Arandela De Parede Pendente Luminária Aramado Diamante Preto,29,90,,4.7,(322)
https://http2.mlstatic.com/D_NQ_NP_669119-MLB52178034240_102022-W.webp,Arandela Facho De Luz Parede Muro E27 P/ Lâmpada Padrão,33,80,,4.6,(140)
https://http2.mlstatic.com/D_NQ_NP_717259-MLU74098845889_012024-W.webp,Arandela Externa 2 Focos E Frisos Parede Muro + Led Incluso Cor Preto Led Quente,44,99,por DAZ Iluminacao,4.8,(203)
https://http2.mlstatic.com/D_NQ_NP_993912-MLU73467799544_122023-W.webp,4x Arandela Solar 2 Focos Parede Slim 10 Fachos Led Externa Cor Branco Quente 10 LED,78,99,por GoldenSky,3.9,(286)
https://http2.mlstatic.com/D_NQ_NP_637064-MLU72362058511_102023-W.webp,Arandela 2 Focos E 2 Frisos Externa Parede Muro MF115 Cor Preto,27,49,por Forteled,4.6,(235)
https://http2.mlstatic.com/D_NQ_NP_939110-MLB52113764902_102022-W.webp,Arandela Led Tartaruga Phare 24w Ilum Externa À Prova D'água Cor Branco,31,12,,4.7,(387)
https://http2.mlstatic.com/D_NQ_NP_640247-MLU74193758973_012024-W.webp,10x Arandela Parede Externa Mini Slim 2 Frisos G9 MF143,204,74,por WS Distribuidora,4.5,(107)
https://http2.mlstatic.com/D_NQ_NP_793651-MLU73553093331_122023-W.webp,Luminária Arandela De Parede Estilo Industrial Preto E Cobre 110V/220V,62,4,,4.7,(185)
https://http2.mlstatic.com/D_NQ_NP_670796-MLU73009129817_112023-W.webp,Arandela Externa 5 Vidros Alumínio Muro Parede E27 Cor Branco,47,99,por DAZ Iluminacao,4.7,(462)
https://http2.mlstatic.com/D_NQ_NP_660701-MLU75358792775_032024-W.webp,Arandela Solar Parede Externo Led Filamento Colonial Vintage Cor Preto 3.7V,32,90,,4.4,(199)
https://http2.mlstatic.com/D_NQ_NP_915850-MLU74218935843_012024-W.webp,Luminária Parede Taschibra Tartaruga Phare 24w 6500k Bivolt 110V/220V,33,27,,4.7,(387)
https://http2.mlstatic.com/D_NQ_NP_665371-MLU73473159468_122023-W.webp,Kit 10 Luminária Arandela Tartaruga Externa Sem Grade E27 Cor Branco,65,67,,4.5,(135)
https://http2.mlstatic.com/D_NQ_NP_643475-MLU75800294381_042024-W.webp,Arandela Slim 2 Frisos Luminária Moderna Interna Ou Externa Cor Preto,17,92,,4.4,(129)
https://http2.mlstatic.com/D_NQ_NP_775131-MLB29906985602_042019-W.webp,Arandela Led 5w Externa Alumínio 2 Friso Lampada Inclusa,29,90,,4.6,(1278)
https://http2.mlstatic.com/D_NQ_NP_615428-MLU73467836952_122023-W.webp,Arandela Slim Inter Externa Alumínio 2 Friso Moderna St2527 Cor Branco 110V/220V,34,4,por Starlumen,4.6,(439)
https://http2.mlstatic.com/D_NQ_NP_707666-MLU76131637251_052024-W.webp,Kit 10 Luminária Arandela Tartaruga Externa Com Grade   110v/220v,71,90,,4.5,(747)
https://http2.mlstatic.com/D_NQ_NP_758992-MLU75261599533_032024-W.webp,Arandela 5 Vidros Branca Uso Externo Garagem Soquete E27 Comum Mf109,76,26,por WS Distribuidora,4.6,(77)
https://http2.mlstatic.com/D_NQ_NP_941127-MLB74757128865_022024-W.webp,Arandela De Parede Pendente Luminária Aramado Diamante Preto,29,90,,4.7,(322)
https://http2.mlstatic.com/D_NQ_NP_616067-MLU71900818032_092023-W.webp,Arandela Externa Eco 3 Frisos E 2 Focos Alumínio Parede Muro Branco Para Lâmpada Comum Soquete E27 Mf130,38,74,por WS Distribuidora,4.8,(221)
https://http2.mlstatic.com/D_NQ_NP_967876-MLU69682255211_052023-W.webp,Arandela Parede Muro Externa Interna Policarbonato Branca Cor Branco 110V/220V,29,27,,4.8,(13)
https://http2.mlstatic.com/D_NQ_NP_657694-MLU73461370270_122023-W.webp,Arandela Focos Fachos Frisos 30cm P/ 2 Lâmpadas E27 St1286 Cor Preto 110V 220V (Bivolt),49,63,por Starlumen,4.7,(225)
https://http2.mlstatic.com/D_NQ_NP_908332-MLU74085577212_012024-W.webp,Arandela Mini Slim 2 Focos Externo Muro Parede Mf143 Cor Branco 110v/220v,25,19,por Forteled,4.5,(107)
https://http2.mlstatic.com/D_NQ_NP_650428-MLU72374328703_102023-W.webp,Arandela 2 Focos E Frisos Externa Parede Muro Mf115 Cor Marrom Bivolt,27,49,por Forteled,4.6,(235)
https://http2.mlstatic.com/D_NQ_NP_713520-MLU72931106430_112023-W.webp,Arandela Externa 5 Vidros Alumínio Muro Parede E27 Cor Preto,47,99,por DAZ Iluminacao,4.7,(462)
https://http2.mlstatic.com/D_NQ_NP_997869-MLU73726912188_012024-W.webp,2x Arandela Solar 2 Focos Parede Slim 10 Fachos Led Externa Cor Branco Quente 10 LED,41,89,por GoldenSky,4.0,(609)
https://http2.mlstatic.com/D_NQ_NP_825987-MLU70681285376_072023-W.webp,Arandela Slim Branca Ajustável Parede Led Integrado 3w Cor Branco bivolt,57,35,,4.8,(52)
https://http2.mlstatic.com/D_NQ_NP_933843-MLU73468953592_122023-W.webp,Arandela 4 Vidros Triângulo Alumínio Externa E27 Parede Muro Cor Preto,49,90,,4.7,(132)
https://http2.mlstatic.com/D_NQ_NP_639939-MLU71814369661_092023-W.webp,2 X Arandela Solar 4 Focos Parede Slim 12 Fachos Led Externa Cor Amarelo 3000K,61,99,por GoldenSky,4.0,(609)
https://http2.mlstatic.com/D_NQ_NP_796455-MLU73543847154_122023-W.webp,2 X Arandela Solar 4 Focos Parede Slim 12 Fachos Led Externa Cor Branco,61,99,por GoldenSky,4.0,(609)
https://http2.mlstatic.com/D_NQ_NP_915238-MLU73565685781_122023-W.webp,4 Luminárias Arandela Led Meia Lua (cor Preta) 8w E 8 Fachos Cor Branco Bivolt,140,61,,4.2,(18)
https://http2.mlstatic.com/D_NQ_NP_727520-MLB52510305344_112022-W.webp,6 Arandela Preta Massuia Externa E Interna 6 Lâmpada Led 5w,220,25,,4.5,(155)
https://http2.mlstatic.com/D_NQ_NP_631767-MLU69395909820_052023-W.webp,Arandela Alumínio 2 Focos Interna Externa Parede Muro 6205 Cor Preto,31,94,,4.2,(25)
